0:0:0:0:0:0:0:1 - - [10/Feb/2024:17:29:26 +0530] "GET /springmvc/getAlien?aid=112 HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [10/Feb/2024:17:29:29 +0530] "GET /springmvc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Feb/2024:17:29:29 +0530] "GET /springmvc/ HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [10/Feb/2024:17:29:40 +0530] "GET /springmvc/getAlien?aid=12 HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [10/Feb/2024:17:29:51 +0530] "GET /springmvc/getAliens HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [10/Feb/2024:17:29:57 +0530] "GET /springmvc/getAlien?aid=12 HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [10/Feb/2024:17:29:57 +0530] "GET /springmvc/getAlien?aid=12 HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [10/Feb/2024:17:29:57 +0530] "GET /springmvc/getAlien?aid=12 HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [10/Feb/2024:17:29:58 +0530] "GET /springmvc/ HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [10/Feb/2024:17:29:58 +0530] "GET /springmvc/ HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [10/Feb/2024:17:29:59 +0530] "GET /springmvc/ HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [10/Feb/2024:17:29:59 +0530] "GET /springmvc/ HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [10/Feb/2024:17:29:59 +0530] "GET /springmvc/ HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [10/Feb/2024:17:29:59 +0530] "GET /springmvc/ HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [10/Feb/2024:17:29:59 +0530] "GET /springmvc/ HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [10/Feb/2024:17:29:59 +0530] "GET /springmvc/ HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [10/Feb/2024:17:29:59 +0530] "GET /springmvc/ HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [10/Feb/2024:17:29:59 +0530] "GET /springmvc/ HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [10/Feb/2024:17:30:00 +0530] "GET /springmvc/ HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [10/Feb/2024:17:30:00 +0530] "GET /springmvc/ HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [10/Feb/2024:17:30:00 +0530] "GET /springmvc/ HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [10/Feb/2024:17:30:00 +0530] "GET /springmvc/ HTTP/1.1" 200 415
